0,000	0,000	29,459	50,020
5,000	100,000	30,044	50,120
10,000	100,000	31,149	50,220
15,000	100,000	32,383	50,320
20,000	100,000	33,715	50,420
25,000	100,000	35,242	50,520
30,000	100,000	36,606	50,620
35,000	100,000	38,068	50,720
40,000	100,000	39,400	50,820
0,000	100,000	28,128	0,020
5,000	0,000	28,160	0,120
10,000	0,000	28,387	0,220
15,000	0,000	28,517	0,320
20,000	0,000	28,582	0,420
25,000	0,000	28,680	0,520
30,000	0,000	28,517	0,620
35,000	0,000	28,582	0,720
40,000	0,000	28,582	0,820
45,000	0,000	28,550	0,920
50,000	0,000	28,582	1,020
55,000	0,000	28,680	1,120
60,000	0,000	28,582	1,220
65,000	0,000	28,517	1,320
70,000	0,000	28,485	1,420
75,000	0,000	28,420	1,520
80,000	0,000	28,517	1,620
85,000	0,000	28,452	1,720
90,000	0,000	28,290	1,820
95,000	0,000	28,420	1,920
100,000	0,000	28,420	2,020
105,000	0,000	28,355	2,120
110,000	0,000	28,322	2,220
115,000	0,000	28,290	2,320
120,000	0,000	28,420	2,420
125,000	0,000	28,420	2,520
130,000	0,000	28,290	2,620
135,000	0,000	28,322	2,720
140,000	0,000	28,290	2,820
145,000	0,000	28,225	2,920
150,000	0,000	28,355	3,020
155,000	0,000	28,257	3,120
