0,000	0,000	22,215	20,000
5,000	0,000	22,150	20,000
10,000	0,000	22,248	20,000
15,000	0,000	22,377	20,000
20,000	0,000	22,377	20,000
25,000	100,000	22,637	30,000
30,000	100,000	23,222	30,000
35,000	100,000	24,294	30,000
40,000	100,000	25,594	30,000
45,000	76,153	27,023	30,000
50,000	38,928	28,290	30,000
55,000	26,978	29,167	30,000
60,000	6,823	29,329	30,000
65,000	14,267	29,687	30,000
70,000	9,619	29,882	30,000
75,000	0,000	29,719	30,000
80,000	21,005	29,849	30,000
85,000	0,000	29,589	30,000
90,000	29,351	29,719	30,000
95,000	10,488	29,654	30,000
100,000	31,097	29,459	30,000
105,000	10,902	29,394	30,000
110,000	1,435	29,524	30,000
115,000	16,969	29,459	30,000
120,000	14,066	29,622	30,000
125,000	18,993	29,622	30,000
130,000	15,485	29,557	30,000
135,000	18,592	29,947	30,000
140,000	10,456	29,784	30,000
145,000	7,227	29,719	30,000
150,000	15,042	29,882	30,000
155,000	12,845	29,817	30,000
160,000	0,000	29,817	30,000
165,000	11,238	29,817	30,000
170,000	13,063	29,882	30,000
175,000	21,755	29,979	30,000
180,000	100,000	30,077	50,000
185,000	100,000	30,694	50,000
190,000	100,000	31,669	50,000
195,000	100,000	32,838	50,000
200,000	100,000	34,072	50,000
205,000	100,000	35,242	50,000
210,000	100,000	36,509	50,000
215,000	100,000	37,711	50,000
220,000	100,000	38,978	50,000
225,000	100,000	40,147	50,000
230,000	100,000	41,252	50,000
235,000	100,000	42,389	50,000
240,000	100,000	43,364	50,000
245,000	100,000	44,501	50,000
250,000	100,000	45,443	50,000
255,000	100,000	46,385	50,000
260,000	100,000	47,262	50,000
265,000	100,000	48,171	50,000
270,000	100,000	48,984	50,000
275,000	100,000	49,861	50,000
280,000	100,000	50,640	50,000
285,000	100,000	51,388	50,000
290,000	100,000	52,167	50,000
295,000	100,000	52,947	50,000
300,000	100,000	53,564	50,000
305,000	83,742	54,051	50,000
310,000	91,511	54,929	50,000
315,000	61,247	55,351	50,000
320,000	45,213	55,318	50,000
325,000	42,725	55,351	50,000
330,000	46,450	55,253	50,000
335,000	25,867	54,831	50,000
340,000	48,595	54,441	50,000
345,000	43,874	54,506	50,000
350,000	59,527	54,051	50,000
355,000	53,957	54,051	50,000
360,000	36,613	54,181	50,000
365,000	60,657	53,759	50,000
370,000	43,229	53,532	50,000
375,000	54,888	53,597	50,000
380,000	61,246	53,402	50,000
385,000	52,332	53,077	50,000
390,000	54,499	53,239	50,000
395,000	55,148	52,979	50,000
400,000	25,163	52,979	50,000
405,000	53,936	52,785	50,000
410,000	22,612	52,687	50,000
415,000	37,839	52,785	50,000
420,000	28,266	52,330	50,000
425,000	24,340	52,557	50,000
430,000	55,203	52,232	50,000
435,000	39,495	52,200	50,000
440,000	44,365	52,005	50,000
445,000	49,229	52,037	50,000
450,000	40,144	52,005	50,000
455,000	56,161	52,167	50,000
460,000	44,787	51,940	50,000
465,000	47,918	51,940	50,000
470,000	35,726	51,712	50,000
475,000	47,058	51,680	50,000
480,000	55,984	51,777	50,000
485,000	37,228	51,712	50,000
490,000	42,875	51,420	50,000
495,000	48,634	51,323	50,000
500,000	32,944	51,258	50,000
505,000	27,486	51,160	50,000
510,000	45,512	51,258	50,000
515,000	65,092	51,160	50,000
520,000	36,408	51,128	50,000
525,000	30,188	50,868	50,000
530,000	34,086	50,803	50,000
535,000	40,242	50,900	50,000
540,000	28,123	51,030	50,000
545,000	41,847	50,835	50,000
550,000	46,649	50,900	50,000
555,000	21,693	50,835	50,000
560,000	48,421	50,803	50,000
565,000	40,441	50,673	50,000
570,000	54,459	50,640	50,000
575,000	41,567	50,640	50,000
580,000	62,424	50,608	50,000
585,000	59,883	50,608	50,000
590,000	57,673	50,446	50,000
595,000	31,657	50,478	50,000
600,000	24,528	50,446	50,000
605,000	39,625	50,770	50,000
610,000	28,202	50,705	50,000
615,000	50,202	50,835	50,000
620,000	29,022	50,575	50,000
625,000	48,257	50,348	50,000
630,000	36,189	50,543	50,000
635,000	51,979	50,446	50,000
640,000	58,420	50,575	50,000
645,000	41,122	50,283	50,000
650,000	47,731	50,283	50,000
655,000	29,265	50,543	50,000
660,000	43,183	50,283	50,000
665,000	48,234	50,283	50,000
670,000	27,861	50,251	50,000
675,000	45,952	50,446	50,000
680,000	46,550	50,510	50,000
685,000	26,026	50,283	50,000
690,000	45,949	50,186	50,000
695,000	21,195	50,316	50,000
700,000	38,657	50,413	50,000
705,000	29,811	49,926	50,000
710,000	52,610	50,186	50,000
715,000	46,851	50,251	50,000
720,000	24,147	50,446	50,000
725,000	52,427	50,348	50,000
730,000	55,949	50,316	50,000
735,000	46,247	50,283	50,000
740,000	53,400	50,283	50,000
745,000	33,795	49,958	50,000
750,000	28,291	50,283	50,000
755,000	27,462	50,186	50,000
760,000	20,794	50,348	50,000
765,000	51,305	50,446	50,000
770,000	17,532	50,251	50,000
775,000	0,000	50,186	30,000
780,000	0,000	49,861	30,000
785,000	0,000	49,406	30,000
790,000	0,000	48,919	30,000
795,000	0,000	48,366	30,000
800,000	0,000	47,847	30,000
805,000	0,000	47,294	30,000
810,000	0,000	46,807	30,000
815,000	0,000	46,287	30,000
820,000	0,000	45,930	30,000
825,000	0,000	45,378	30,000
830,000	0,000	44,955	30,000
835,000	0,000	44,533	30,000
840,000	0,000	44,111	30,000
845,000	0,000	43,656	30,000
850,000	0,000	43,299	30,000
855,000	0,000	42,974	30,000
860,000	0,000	42,584	30,000
865,000	0,000	42,227	30,000
870,000	0,000	41,934	30,000
875,000	0,000	41,544	30,000
880,000	0,000	41,284	30,000
885,000	0,000	41,025	30,000
890,000	0,000	40,667	30,000
895,000	0,000	40,245	30,000
900,000	0,000	40,180	30,000
905,000	0,000	39,855	30,000
910,000	0,000	39,595	30,000
915,000	0,000	39,303	30,000
920,000	0,000	39,108	30,000
925,000	0,000	38,880	30,000
930,000	0,000	38,718	30,000
935,000	0,000	38,263	30,000
940,000	0,000	38,328	30,000
945,000	0,000	38,036	30,000
