0,000	0,000	24,651
10,000	25,000	25,431
20,000	25,000	26,178
30,000	25,000	27,088
40,000	25,000	28,192
50,000	25,000	28,940
60,000	25,000	29,752
70,000	25,000	30,726
80,000	25,000	31,279
90,000	25,000	31,961
100,000	25,000	32,806
110,000	25,000	33,260
120,000	25,000	33,845
130,000	25,000	34,495
140,000	25,000	34,885
150,000	25,000	35,372
160,000	25,000	36,152
170,000	25,000	36,314
180,000	25,000	36,639
190,000	25,000	37,289
200,000	25,000	37,516
210,000	25,000	37,938
220,000	25,000	38,426
230,000	25,000	38,556
240,000	25,000	38,880
250,000	25,000	39,335
260,000	25,000	39,433
270,000	25,000	39,725
280,000	25,000	40,180
290,000	25,000	40,342
300,000	25,000	40,505
310,000	50,000	41,219
320,000	50,000	41,772
330,000	50,000	42,356
340,000	50,000	42,909
350,000	50,000	43,558
360,000	50,000	44,046
370,000	50,000	44,533
380,000	50,000	45,020
390,000	50,000	45,508
400,000	50,000	45,962
410,000	50,000	46,417
420,000	50,000	46,742
430,000	50,000	47,002
440,000	50,000	47,424
450,000	50,000	47,814
460,000	50,000	48,171
470,000	50,000	48,399
480,000	50,000	48,724
490,000	50,000	48,984
500,000	50,000	49,211
510,000	50,000	49,568
520,000	50,000	49,828
530,000	50,000	50,023
540,000	50,000	50,283
550,000	50,000	50,510
560,000	50,000	50,705
570,000	50,000	50,868
580,000	50,000	51,128
590,000	50,000	51,420
600,000	50,000	51,485
610,000	75,000	51,745
620,000	75,000	52,622
630,000	75,000	53,434
640,000	75,000	53,857
650,000	75,000	54,799
660,000	75,000	55,416
670,000	75,000	55,643
680,000	75,000	56,488
690,000	75,000	57,105
700,000	75,000	57,203
710,000	75,000	57,917
720,000	75,000	58,372
730,000	75,000	58,730
740,000	75,000	59,217
750,000	75,000	59,672
760,000	75,000	59,769
770,000	75,000	60,321
780,000	75,000	60,711
790,000	75,000	60,744
800,000	75,000	61,198
810,000	75,000	61,621
820,000	75,000	61,718
830,000	75,000	62,141
840,000	75,000	62,433
850,000	75,000	62,368
860,000	75,000	62,953
870,000	75,000	63,148
880,000	75,000	63,083
890,000	75,000	63,537
900,000	75,000	63,895
910,000	100,000	64,512
920,000	100,000	65,519
930,000	100,000	66,656
940,000	100,000	67,793
950,000	100,000	68,800
960,000	100,000	69,742
970,000	100,000	70,619
980,000	100,000	71,334
990,000	100,000	72,081
1000,000	100,000	72,829
1010,000	100,000	73,576
1020,000	100,000	74,128
1030,000	100,000	74,745
1040,000	100,000	75,395
1050,000	100,000	75,947
1060,000	100,000	76,467
1070,000	100,000	76,922
1080,000	100,000	77,377
1090,000	100,000	77,799
1100,000	100,000	78,286
1110,000	100,000	78,676
1120,000	100,000	79,033
1130,000	100,000	79,488
1140,000	100,000	79,846
1150,000	100,000	80,235
1160,000	100,000	80,528
1170,000	100,000	80,820
1180,000	100,000	81,210
1190,000	100,000	81,340
1200,000	100,000	81,665
1210,000	75,000	81,210
1220,000	75,000	80,820
1230,000	75,000	80,138
1240,000	75,000	79,293
1250,000	75,000	79,001
1260,000	75,000	78,351
1270,000	75,000	77,734
1280,000	75,000	77,377
1290,000	75,000	77,084
1300,000	75,000	76,434
1310,000	75,000	76,272
1320,000	75,000	75,980
1330,000	75,000	75,557
1340,000	75,000	75,427
1350,000	75,000	75,168
1360,000	75,000	74,680
1370,000	75,000	74,745
1380,000	75,000	74,518
1390,000	75,000	74,095
1400,000	75,000	74,128
1410,000	75,000	74,095
1420,000	75,000	73,641
1430,000	75,000	73,868
1440,000	75,000	73,738
1450,000	75,000	73,511
1460,000	75,000	73,543
1470,000	75,000	73,543
1480,000	75,000	73,153
1490,000	75,000	73,381
1500,000	75,000	73,218
1510,000	50,000	72,764
1520,000	50,000	72,439
1530,000	50,000	71,919
1540,000	50,000	71,594
1550,000	50,000	71,172
1560,000	50,000	70,749
1570,000	50,000	70,587
1580,000	50,000	70,165
1590,000	50,000	69,840
1600,000	50,000	69,515
1610,000	50,000	69,352
1620,000	50,000	69,125
1630,000	50,000	68,963
1640,000	50,000	68,833
1650,000	50,000	68,508
1660,000	50,000	68,378
1670,000	50,000	68,118
1680,000	50,000	67,988
1690,000	50,000	67,891
1700,000	50,000	67,696
1710,000	50,000	67,631
1720,000	50,000	67,468
1730,000	50,000	67,371
1740,000	50,000	67,143
1750,000	50,000	67,273
1760,000	50,000	67,078
1770,000	50,000	66,949
1780,000	50,000	66,884
1790,000	50,000	66,851
1800,000	50,000	66,721
1810,000	25,000	66,591
1820,000	25,000	65,941
1830,000	25,000	65,227
1840,000	25,000	64,804
1850,000	25,000	64,025
1860,000	25,000	63,570
1870,000	25,000	63,278
1880,000	25,000	62,693
1890,000	25,000	62,173
1900,000	25,000	62,043
1910,000	25,000	61,523
1920,000	25,000	61,101
1930,000	25,000	61,069
1940,000	25,000	60,516
1950,000	25,000	60,159
1960,000	25,000	60,094
1970,000	25,000	59,639
1980,000	25,000	59,347
1990,000	25,000	59,412
2000,000	25,000	58,924
2010,000	25,000	58,632
2020,000	25,000	58,730
2030,000	25,000	58,307
2040,000	25,000	58,112
2050,000	25,000	58,112
2060,000	25,000	57,820
2070,000	25,000	57,625
2080,000	25,000	57,820
2090,000	25,000	57,365
2100,000	25,000	57,268
2110,000	0,000	56,488
2120,000	0,000	55,546
2130,000	0,000	54,474
2140,000	0,000	53,532
2150,000	0,000	52,590
2160,000	0,000	51,583
2170,000	0,000	50,868
2180,000	0,000	49,958
2190,000	0,000	49,276
2200,000	0,000	48,594
2210,000	0,000	47,944
2220,000	0,000	47,327
2230,000	0,000	46,775
2240,000	0,000	46,190
2250,000	0,000	45,670
2260,000	0,000	45,248
2270,000	0,000	44,760
2280,000	0,000	44,371
2290,000	0,000	43,883
2300,000	0,000	43,429
2310,000	0,000	43,039
2320,000	0,000	42,714
2330,000	0,000	42,421
