0,000	0,000	22,767
10,000	0,000	22,637
20,000	0,000	22,832
30,000	0,000	22,995
40,000	0,000	23,125
50,000	0,000	23,222
60,000	100,000	25,171
70,000	100,000	27,998
80,000	100,000	30,954
90,000	100,000	33,845
100,000	100,000	36,444
110,000	100,000	39,010
120,000	100,000	41,382
130,000	100,000	43,656
140,000	100,000	45,735
150,000	100,000	47,522
160,000	100,000	49,536
170,000	100,000	51,030
180,000	100,000	52,752
190,000	100,000	54,214
200,000	100,000	55,611
210,000	100,000	56,943
220,000	100,000	58,145
230,000	100,000	59,347
240,000	100,000	60,419
250,000	100,000	61,556
260,000	100,000	62,498
270,000	100,000	63,472
280,000	100,000	64,447
290,000	100,000	65,227
300,000	100,000	66,201
310,000	100,000	66,851
320,000	100,000	67,663
330,000	100,000	68,313
340,000	100,000	69,093
350,000	100,000	69,710
360,000	100,000	70,327
370,000	100,000	70,912
380,000	100,000	71,464
390,000	100,000	72,081
400,000	100,000	72,569
410,000	100,000	73,023
420,000	100,000	73,511
430,000	100,000	73,998
440,000	100,000	74,420
450,000	100,000	74,843
460,000	100,000	75,265
470,000	100,000	75,687
480,000	100,000	76,110
490,000	100,000	76,467
500,000	100,000	76,857
510,000	100,000	77,214
520,000	100,000	77,539
530,000	100,000	77,831
540,000	100,000	78,254
550,000	100,000	78,481
560,000	100,000	78,806
570,000	100,000	79,131
580,000	100,000	79,293
590,000	100,000	79,618
600,000	100,000	79,910
610,000	100,000	80,235
620,000	100,000	80,463
630,000	100,000	80,625
640,000	100,000	80,918
650,000	100,000	81,210
660,000	100,000	81,275
670,000	100,000	81,600
680,000	100,000	81,795
690,000	100,000	82,022
700,000	100,000	82,250
710,000	100,000	82,412
720,000	100,000	82,574
730,000	100,000	82,834
740,000	100,000	82,964
750,000	100,000	83,224
760,000	100,000	83,354
770,000	100,000	83,516
780,000	100,000	83,776
790,000	100,000	83,906
800,000	100,000	84,069
810,000	100,000	84,134
820,000	100,000	84,426
830,000	100,000	84,556
840,000	100,000	84,686
850,000	100,000	84,783
860,000	100,000	84,978
870,000	100,000	85,043
880,000	100,000	85,206
890,000	100,000	85,433
900,000	100,000	85,628
910,000	100,000	85,628
920,000	100,000	85,823
930,000	100,000	85,920
940,000	100,000	85,920
950,000	100,000	86,213
960,000	100,000	86,245
970,000	100,000	86,343
980,000	100,000	86,473
990,000	100,000	86,603
1000,000	100,000	86,733
1010,000	100,000	86,765
1020,000	100,000	86,895
1030,000	100,000	87,090
1040,000	100,000	87,057
1050,000	100,000	87,252
1060,000	100,000	87,317
1070,000	100,000	87,447
1080,000	100,000	87,480
1090,000	100,000	87,577
1100,000	100,000	87,675
1110,000	100,000	87,805
1120,000	100,000	87,772
1130,000	100,000	87,837
1140,000	100,000	87,967
1150,000	100,000	88,097
1160,000	100,000	88,032
1170,000	100,000	88,292
1180,000	100,000	88,357
1190,000	100,000	88,324
1200,000	100,000	88,422
1210,000	100,000	88,519
1220,000	100,000	88,584
1230,000	100,000	88,682
1240,000	100,000	88,812
1250,000	100,000	88,812
1260,000	100,000	88,942
1270,000	100,000	89,007
1280,000	100,000	89,137
1290,000	100,000	89,169
1300,000	100,000	89,169
1310,000	100,000	89,364
1320,000	100,000	89,299
1330,000	100,000	89,396
1340,000	100,000	89,461
1350,000	100,000	89,591
1360,000	100,000	89,591
1370,000	100,000	89,559
1380,000	100,000	89,689
1390,000	100,000	89,754
1400,000	100,000	89,916
1410,000	100,000	89,851
1420,000	100,000	89,981
1430,000	100,000	89,981
1440,000	100,000	90,014
1450,000	100,000	90,176
1460,000	100,000	90,144
1470,000	100,000	90,209
1480,000	100,000	90,176
1490,000	100,000	90,339
1500,000	100,000	90,371
1510,000	100,000	90,306
1520,000	100,000	90,533
1530,000	100,000	90,501
1540,000	100,000	90,533
1550,000	100,000	90,631
1560,000	100,000	90,663
1570,000	100,000	90,663
1580,000	100,000	90,761
1590,000	100,000	90,826
1600,000	100,000	90,826
1610,000	100,000	90,988
1620,000	100,000	90,923
1630,000	100,000	90,923
1640,000	100,000	91,086
1650,000	100,000	91,183
1660,000	100,000	91,151
1670,000	100,000	91,151
1680,000	100,000	91,346
1690,000	100,000	91,346
1700,000	100,000	91,346
1710,000	100,000	91,411
1720,000	100,000	91,378
1730,000	100,000	91,541
1740,000	100,000	91,508
1750,000	100,000	91,606
1760,000	100,000	91,541
