2.000000	3.557841	1.245023	1.832983	
2.000000	3.530359	1.343630	1.826147	
2.000000	3.562090	1.269506	1.833308	
2.000000	3.595162	1.291797	1.836889	
2.000000	3.655540	1.274419	1.825496	
2.000000	3.614334	1.247394	1.831355	
2.000000	3.514635	1.204997	1.830379	
2.000000	3.649248	1.241854	1.836889	
6.000000	3.508622	1.175915	1.850560	
6.000000	3.520321	1.378232	1.974576	
6.000000	3.679207	1.471365	2.098592	
6.000000	3.732595	1.560768	2.260040	
6.000000	3.733004	1.704699	2.429301	
6.000000	3.668841	1.851234	2.585542	
6.000000	3.950318	1.996681	2.740806	
6.000000	3.870888	2.092834	2.907462	
6.000000	3.794752	2.116366	3.081931	
6.000000	3.990900	2.308551	3.262584	
6.000000	3.948314	2.325125	3.449422	
6.000000	3.934325	2.270538	3.629424	
6.000000	4.025077	2.384372	3.818866	
6.000000	3.939347	2.423962	3.995938	
6.000000	3.962995	2.448197	4.195470	
6.000000	4.010373	2.537262	4.357245	
6.000000	3.945838	2.516442	4.560357	
6.000000	3.956322	2.517963	4.738406	
6.000000	3.918492	2.504608	4.911573	
6.000000	4.013802	2.657620	5.099387	
6.000000	4.036152	2.663142	5.273205	
6.000000	3.999442	2.634269	5.446046	
6.000000	4.012453	2.689092	5.639719	
6.000000	4.037736	2.759451	5.803121	
6.000000	3.972276	2.628658	5.873429	
6.000000	3.966322	2.715298	5.871151	
6.000000	3.994875	2.774391	5.879939	
6.000000	4.045863	2.785957	5.867896	
6.000000	3.955444	2.672198	5.863339	
6.000000	3.947277	2.737056	5.874080	
6.000000	4.015506	2.737453	5.875057	
6.000000	4.003637	2.728720	5.873104	
6.000000	4.067100	2.692473	5.859433	
6.000000	3.913812	2.676418	5.875382	
6.000000	4.025456	2.759722	5.874406	
6.000000	3.977873	2.714427	5.873755	
6.000000	3.994658	2.717454	5.860409	
6.000000	3.950681	2.724112	5.867570	
6.000000	4.075860	2.713050	5.874080	
6.000000	3.966657	2.718792	5.864966	
6.000000	3.929302	2.674641	5.879939	
6.000000	4.024711	2.775848	5.873755	
6.000000	4.089830	2.761618	5.866268	
6.000000	3.944188	2.692774	5.864641	
6.000000	3.963779	2.716100	5.871802	
6.000000	3.974993	2.754115	5.875057	
6.000000	3.955950	2.751577	5.874731	
6.000000	4.054919	2.772153	5.879288	
6.000000	3.982405	2.764992	5.868872	
6.000000	3.998271	2.789720	5.871476	
6.000000	4.053712	2.755530	5.884496	
6.000000	3.979834	2.711521	5.890030	
6.000000	3.989269	2.706046	5.862362	
6.000000	4.049753	2.761776	5.868221	
6.000000	4.031375	2.768179	5.894261	
6.000000	4.018256	2.741339	5.868221	
6.000000	4.059658	2.769347	5.878312	
6.000000	4.004167	2.782753	5.878312	
6.000000	4.035401	2.828472	5.861386	
6.000000	3.947417	2.734173	5.870825	
6.000000	4.001345	2.715599	5.864966	
6.000000	3.939233	2.789503	5.869198	
6.000000	3.974132	2.714026	5.875057	
6.000000	3.970852	2.677719	5.871151	
6.000000	3.997259	2.737409	5.873429	
6.000000	3.975978	2.710123	5.873429	
2.000000	3.997249	2.744623	5.867570	
2.000000	4.109863	2.784735	5.776104	
2.000000	3.932786	2.735439	5.641672	
2.000000	3.982803	2.738583	5.465251	
2.000000	3.962372	2.770828	5.286876	
2.000000	3.997088	2.714475	5.120219	
2.000000	4.062526	2.725704	4.941519	
2.000000	4.028238	2.807238	4.766725	
2.000000	3.952882	2.693544	4.578911	
2.000000	4.015788	2.699703	4.413231	
2.000000	3.972363	2.566546	4.225742	
2.000000	3.986099	2.591152	4.029790	
2.000000	4.002506	2.548736	3.867691	
2.000000	3.974346	2.541522	3.672716	
2.000000	3.979589	2.448162	3.483274	
2.000000	4.036988	2.410430	3.299366	
2.000000	4.023082	2.402279	3.131733	
2.000000	3.974425	2.347255	2.962472	
2.000000	3.899374	2.379206	2.785399	
2.000000	3.925225	2.298725	2.631763	
2.000000	3.903562	2.182322	2.457294	
